,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance,ROI,ROI_coordinates
0,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,0,447.9972315508072,490.0841094821763,0.0,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
1,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,1,412.35790523426675,510.58354440433845,41.114333418223076,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
2,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,2,402.6215896315558,517.8711556696653,12.1616248696509,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
3,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,3,401.25608674191955,521.2418254687714,3.636758589212468,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
4,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,4,401.1270359575265,523.4431953634713,2.205149318808985,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
5,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,5,401.6648427709538,526.0578313125599,2.669373955599886,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
6,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,6,402.381199650433,529.2412075951379,3.2629820310963265,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
7,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,7,402.1291260983763,531.6222698778935,2.3943681149747444,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
8,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,8,401.9556416441137,534.1914055752115,2.5749864246447607,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
9,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,9,402.04584073934814,535.7555075114082,1.5667005915602013,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
10,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,10,402.0406464821858,536.7334184251959,0.9779247085602012,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
11,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,11,402.0923743479812,535.9346385305984,0.8004530542842087,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
12,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,12,402.33564158587967,534.8093937407298,1.151240542267841,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
13,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,13,402.4692994722159,533.6642160536778,1.1529511548636953,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
14,SC_FullP_PostHab2_4_10.MP4,30.0,99.5,True,0.9,100.0,50.0,14,402.962553173492,533.3607360925303,0.579136685628444,True,"PolyDraw(data={'xs': [[389.7704146066208, 932.7340592755804, 932.7340592755804, 394.66199349742044]], 'ys': [[37.41259765624992, 34.798210592830806, 577.2819106158088, 579.8962976792279]]})"
